головной арт;Код;номенклатура;фасовка;единица изм.;цена розница;бренд;картинка;цвет
;00000597;Шпатлевка финишная под окраску DANO TOP 9 (3.5л);3,5;л;400;;http://www.rostov-na-donu.build2last.ru/images_material/411914/shpatlevka-finishnaya-pod-okrasku-dano-top-9-10l-rostov-na-donu.jpg;
;00000945;Шпаклевка Юнис LR+полимерная 18кг ;18;кг;464;Unis;http://marketloft.ru/upload/iblock/0c8/78497eac_e8b7_11e5_b936_000c293ca806_ebc3de0b_e8b8_11e5_b936_000c293ca806.jpeg;
;00001049;Шпаклевка ВТВ латексная 15кг;15;кг;163;;http://strport.ru/sites/default/files/shpatlevka_lateksnaya.jpg;
;00000274;Шпаклевка на основе ПВА ВТВ 15кг;15;кг;154;;http://belpapa.ru/images1/5761b84d9e4ac.png;
;00000557;Штукатурка ВОЛМА Аквалюкс 25кг ;25;кг;210;Волма;http://zenith-nn.ru/image/cache/data/Tovar/Stucaturka/Volma/%D0%90%D0%BA%D0%B2%D0%B0-%D0%BB%D1%8E%D0%BA%D1%81.png-500x500.jpg;
;00000426;Штукатурка ВОЛМА Аквапласт 25кг;25;кг;215;Волма;http://www.tdksm.ru/thumb/420x420xin/upload/iblock/c70/_i_i_.jpg;
;00000718;Штукатурка ВОЛМА Гипс Актив (Слой МН)  30кг;30;кг;270;Волма;http://bshlv.ru.images.1c-bitrix-cdn.ru/upload/iblock/455/4551b464e5e66809e54c8ea001ff7066.jpg?144502050438257;
;00000189;Штукатурка ВОЛМА Дача 25кг ;25;кг;166;Волма;http://strdlo.ru/wp-content/uploads/2016/05/%D0%92%D0%BE%D0%BB%D0%BC%D0%B0_%D0%B4%D0%B0%D1%87%D0%B0.jpg;
;00000558;Штукатурка ВОЛМА Люкс 25кг ;25;кг;357;Волма;http://stroymag-balashov.ru/wp-content/uploads/2016/01/%D0%A8%D1%82%D1%83%D0%BA%D0%B0%D1%82%D1%83%D1%80%D0%BA%D0%B0-%D0%92%D0%BE%D0%BB%D0%BC%D0%B0-%D0%9B%D1%8E%D0%BA%D1%81-25%D0%BA%D0%B3-%D0%B3%D0%B8%D0%BF%D1%81-1.jpg;
;00000129;Штукатурка ВОЛМА Пласт 30кг ;35;кг;267;Волма;http://titanst.ru/upload/iblock/6f9/6f9e9e935433c72fce2f0b64d96a0c59.jpeg;
;00000089;Штукатурка Волма Слой гипсовая 15кг ;15;кг;201;Волма;http://stroydvor2002.ru/components/com_jshopping/files/img_products/full_e91d356b6c8c0713590f591e92665707.jpg;
;00000090;Штукатурка Волма Слой гипсовая 30кг ;35;кг;343;Волма;http://domostroi-prim.ru/upload/iblock/37e/37eaf61276f585d1a7b3e8443cea92af.jpeg;
;00000348;Штукатурка Волма Слой гипсовая 5кг ;5;кг;89;Волма;http://samostroeff.ru/images/455edd55f8ca22671179f14d2e235d8a.jpg;
;00000458;Штукатурка КНАУФ Ротбанд гипс. 10кг.;10;кг;208;Knauf;http://stroymart96.ru/upload/resize_cache/iblock/24b/800_600_140cd750bba9870f18aada2478b24840a/24b5c3428f37f8e96c2ba16c2b331655.jpeg;
;00000135;Штукатурка КНАУФ Ротбанд гипс. 30кг.;30;кг;345;Knauf;http://welcome33.ru/files/ru/products/000/005/5439original_f64f04.jpg;
;00000193;Штукатурка ЮНИС Короед декоративная 25кг.;25;кг;443;Unis;http://smesstroy.ru/image/cache/catalog/cement_shtukaturka/11-500x500.jpg;
;00000024;Штукатурка ЮНИС ТЕПЛОН 15кг.;15;кг;194;Unis;http://www.electrosvet32.ru/public/images/g669.jpg;
;00000025;Штукатурка ЮНИС ТЕПЛОН 30кг;30;кг;315;Unis;http://lesomateriali.com/wa-data/public/shop/products/20/09/920/images/302/302.750x0.jpg;
;00001308;Штукатурка Юнис Теплон МН 30 кг;30;кг;250;Unis;http://lesomateriali.com/wa-data/public/shop/products/20/09/920/images/302/302.750x0.jpg;
;00000134;Маты URSA Лайт 6250*1200*50 (0,75м3, 15м2) 2шт;1;шт;785;URSA;http://oma.shop.by/pics/items/2.223154.jpg;
;00000540;Маты URSA М11 10000*1200*50 (1,2м3) 2шт прозр.упак.;1;шт;842;URSA;http://st14.stpulscen.ru/images/product/076/130/721_big.jpg;
;00001222;"Маты URSA М11 10000*1200*90  (1,08м3; 12м2)";1;шт;842;URSA;http://st14.stpulscen.ru/images/product/076/130/721_big.jpg;
;00000055;Маты URSA М11 9000*1200*50 (1,08м3, 21,6м2) 2шт;1;шт;1010;URSA;http://st14.stpulscen.ru/images/product/076/130/721_big.jpg;
;00000053;Маты URSA М11 МИНИ 14000*600*50 (0,42м3, 8,4м2);1;шт;527;URSA;http://shop.optorg.ru/files/upload/220/220552.jpg;
;00000054;Маты URSA М11Ф 12500*1200*50 (0,75м3, 15м2);1;шт;1578;URSA;http://vbaza.ru/userfiles/shop/large/496_ursa-maty-m-11-f-18000-1200-50-1up-108m.jpg;
;00000328;Маты URSA М11Ф 18000*1200*50 (1,08м3, 21,6м2);1;шт;2146;URSA;http://vbaza.ru/userfiles/shop/large/496_ursa-maty-m-11-f-18000-1200-50-1up-108m.jpg;
;00000334;Маты URSA Скатная Крыша 3900*1200*150 (0,702м3);1;шт;1070;URSA;http://stroyroom74.ru/image/data/3370230859d23d81a3cb52570418d039.jpg;
;00000056;"Маты URSA Шумозащита (4*7000*610*50) (0,854м3; 17,08м2) 30шт/под";1;шт;1047;URSA;http://www.ztm42.ru/image/cache/data/stroy-material/ursa20geo2-700x700.jpg;
;00000057;"Плиты URSA TERRA 34 PN (10) (1000*600*50) (0,3м3; 6м2)";1;шт;368;URSA;http://impuls-hoper.ru/wa-data/public/shop/products/44/97/19744/images/15870/15870.970.jpeg;
;00000192;"Плиты URSA TERRA 34 PN (10) (1000*610*50) (0,305м3; 6,1м2) Шумозащита";1;шт;424;URSA;http://merchiumru.r.worldssl.net/users/10634/images/detailed/1/Terra.jpg?t=1454496715;
;00000861;Плиты URSA TERRA 34 PN (12) 1250*600*50(0,45м3);1;шт;1107;URSA;http://impuls-hoper.ru/wa-data/public/shop/products/44/97/19744/images/15870/15870.970.jpeg;
;00000578;"Плиты URSA TERRA 34 PN (6) 1250*600*100(0,45м3;4,5м2)";1;шт;481;URSA;http://impuls-hoper.ru/wa-data/public/shop/products/44/97/19744/images/15870/15870.970.jpeg;
;00000058;"Плиты URSA П15 универ.(1000*600*50) (0,3м3; 6м2;10шт)";1;шт;332;URSA;http://xn--80aaauyk3adqx.xn--p1ai/image/cache/data/imagetov/0000007051_1-500x554.jpg;
;00000561;"Плиты URSA П20 1250*600*50  (0,9м3; 18м2;20шт)";1;шт;1200;URSA;http://st16.stpulscen.ru/images/product/081/211/971_big.jpg;
;00000577;Плиты URSA П60 1250*600*20(0,3м3);1;шт;805;URSA;http://st16.stpulscen.ru/images/product/081/211/971_big.jpg;
;00000554;"Маты ВОЛМА М11Лайт (21,6м2; 1,08м3)";1;шт;1102;URSA;http://gvzd.ru/img/product/volma_uteplitel.jpg;
;00000005;Минплита Изовер Каркас-М40-ТВИН-50/1220*9000/Е/К;1;шт;1800;Isover;http://st13.stblizko.ru/images/product/057/197/200_original.jpg;
;00000394;Минплита Изовер КВ-050/Е 400*440*1000;1;шт;770;Isover;http://stenstroy.ru/exchange/images/LL00012011.jpg;
