Код;Наименование;фасовка;Единица измерения;Цена в валюте прайса;Бренд;картинка;Цвет
19342;;9;л;2991,9825;;;
w20348;OLIMP ОМИКРОН-ГЕЛЬ Гель декор. защит. Тик;;;;OLIMP;http://www.dekart.ru/content/images/thumbs/0001781__.jpeg;
20348;;0,9;л;353,0358;;;
19344;;2,7;л;1014,5421;;;
19345;;9;л;2991,9825;;;
w20350;OLIMP ОМИКРОН МАКСИМУМ Антисептик бесцветный;;;;OLIMP;http://images.obi.ru/fsicache/obi?type=image&source=ObiWebShop%2FPROD%2FRU%2Fproduct%2F219%2F219458_picture_1.jpg&width=565&height=565&quality=85&effects=pad%28CC,ffff%29;
20350;;0,9;л;289,1889;;;
13569;;2,7;л;803,9538;;;
13570;;9;л;2288,4381;;;
w20351;OLIMP ОМИКРОН МАКСИМУМ Антисептик дуб;;;;OLIMP;http://images.obi.ru/fsicache/obi?type=image&source=ObiWebShop%2FPROD%2FRU%2Fproduct%2F219%2F219458_picture_1.jpg&width=565&height=565&quality=85&effects=pad%28CC,ffff%29;
20351;;0,9;л;289,1889;;;
13572;;2,7;л;803,9538;;;
13573;;9;л;2288,4381;;;
w20352;OLIMP ОМИКРОН МАКСИМУМ Антисептик калужница;;;;OLIMP;http://images.obi.ru/fsicache/obi?type=image&source=ObiWebShop%2FPROD%2FRU%2Fproduct%2F219%2F219458_picture_1.jpg&width=565&height=565&quality=85&effects=pad%28CC,ffff%29;
20352;;0,9;л;289,1889;;;
13575;;2,7;л;803,9538;;;
13576;;9;л;2288,4381;;;
w20353;OLIMP ОМИКРОН МАКСИМУМ Антисептик кр. дерево;;;;OLIMP;http://images.obi.ru/fsicache/obi?type=image&source=ObiWebShop%2FPROD%2FRU%2Fproduct%2F219%2F219458_picture_1.jpg&width=565&height=565&quality=85&effects=pad%28CC,ffff%29;
20353;;0,9;л;289,1889;;;
13578;;2,7;л;803,9538;;;
13579;;9;л;2288,4381;;;
w20354;OLIMP ОМИКРОН МАКСИМУМ Антисептик орегон;;;;OLIMP;http://images.obi.ru/fsicache/obi?type=image&source=ObiWebShop%2FPROD%2FRU%2Fproduct%2F219%2F219458_picture_1.jpg&width=565&height=565&quality=85&effects=pad%28CC,ffff%29;
20354;;0,9;л;289,1889;;;
13581;;2,7;л;803,9538;;;
13582;;9;л;2288,4381;;;
w20355;OLIMP ОМИКРОН МАКСИМУМ Антисептик орех. дер.;;;;OLIMP;http://images.obi.ru/fsicache/obi?type=image&source=ObiWebShop%2FPROD%2FRU%2Fproduct%2F219%2F219458_picture_1.jpg&width=565&height=565&quality=85&effects=pad%28CC,ffff%29;
20355;;0,9;л;289,1889;;;
13584;;2,7;л;803,9538;;;
13585;;9;л;2288,4381;;;
